mdot_kg_s,rpm,Vx_m_s,phi,Re_tip_0p1m,Mach_rel_tip,BPF_Hz,modal_margin_fraction
0.1,300,1.3002854827769226,0.23976219677755453,65140.48855087467,0.028645355752449746,60.0,4.616666666666666
0.1,400,1.3002854827769226,0.1798216475831659,86520.59449540901,0.03804720020327752,80.0,3.2125
0.1,500,1.3002854827769226,0.14385731806653274,107957.30843493133,0.04747393786861654,100.0,2.37
0.1,600,1.3002854827769226,0.11988109838877727,129422.50486941719,0.05691320063499638,120.0,1.8083333333333333
0.1,700,1.3002854827769226,0.10275522719038054,150904.02989422542,0.06635964385533236,140.0,1.4071428571428573
0.1,800,1.3002854827769226,0.08991082379158295,172395.77970311156,0.07581058339714089,160.0,1.10625
0.1,900,1.3002854827769226,0.07992073225918485,193894.35430165002,0.0852645241219598,180.0,0.8722222222222222
0.1,1000,1.3002854827769226,0.07192865903326637,215397.7101785146,0.09472056740114465,200.0,0.685
0.1,1100,1.3002854827769226,0.06538969003024214,236904.54537582106,0.10417814070219535,220.0,0.5318181818181819
0.1,1200,1.3002854827769226,0.05994054919438863,258413.99118233722,0.11363686201166918,240.0,0.4041666666666667
0.1,1300,1.3002854827769226,0.055329737717897204,279925.4458017871,0.12309646669126205,260.0,0.29615384615384616
0.1,1400,1.3002854827769226,0.05137761359519027,301438.47917171573,0.13255676562215876,280.0,0.20357142857142857
0.1,1500,1.3002854827769226,0.047952439355510905,322952.77579371905,0.14201762006477925,300.0,0.12333333333333334
0.15000000000000002,300,1.9504282241653839,0.3596432951663318,65849.6647190406,0.02895721407712912,60.0,4.616666666666666
0.15000000000000002,400,1.9504282241653839,0.2697324713747489,87055.77733156153,0.03828254542520077,80.0,3.2125
0.15000000000000002,500,1.9504282241653839,0.21578597709979908,108386.69447620552,0.04766275923273371,100.0,2.37
0.15000000000000002,600,1.9504282241653839,0.1798216475831659,129780.89174311349,0.05707080030491627,120.0,1.8083333333333333
0.15000000000000002,700,1.9504282241653839,0.1541328407855708,151211.51190726418,0.06649485824882123,140.0,1.4071428571428573
0.15000000000000002,800,1.9504282241653839,0.13486623568737444,172664.99342486073,0.07592896941180707,160.0,1.10625
0.15000000000000002,900,1.9504282241653839,0.11988109838877727,194133.75730412576,0.08536980095249457,180.0,0.8722222222222222
0.15000000000000002,1000,1.9504282241653839,0.10789298854989954,215613.23856644516,0.09481534543373803,200.0,0.685
0.15000000000000002,1100,1.9504282241653839,0.09808453504536321,237100.5244926461,0.10426432199506545,220.0,0.5318181818181819
0.15000000000000002,1200,1.9504282241653839,0.08991082379158295,258593.6695546673,0.11371587509571132,240.0,0.4041666666666667
0.15000000000000002,1300,1.9504282241653839,0.0829946065768458,280091.32493223104,0.12316941159556323,260.0,0.29615384615384616
0.15000000000000002,1400,1.9504282241653839,0.0770664203927854,301592.52613471757,0.13262450736244868,280.0,0.20357142857142857
0.15000000000000002,1500,1.9504282241653839,0.07192865903326637,323096.56526777183,0.14208085110171698,300.0,0.12333333333333334
0.2,300,2.600570965553845,0.47952439355510906,66829.86964343753,0.029388256573037397,60.0,4.616666666666666
0.2,400,2.600570965553845,0.3596432951663318,87799.5529587208,0.0386096187695055,80.0,3.2125
0.2,500,2.600570965553845,0.28771463613306547,108984.99287712558,0.04792585935558729,100.0,2.37
0.2,600,2.600570965553845,0.23976219677755453,130280.97710174933,0.05729071150489949,120.0,1.8083333333333333
0.2,700,2.600570965553845,0.20551045438076107,151640.93928167783,0.06668369778907601,140.0,1.4071428571428573
0.2,800,2.600570965553845,0.1798216475831659,173041.18899081802,0.07609440040655505,160.0,1.10625
0.2,900,2.600570965553845,0.1598414645183697,194468.42637807812,0.08551697078336283,180.0,0.8722222222222222
0.2,1000,2.600570965553845,0.14385731806653274,215914.61686986266,0.09494787573723308,200.0,0.685
0.2,1100,2.600570965553845,0.13077938006048428,237374.62342810922,0.10438485626940662,220.0,0.5318181818181819
0.2,1200,2.600570965553845,0.11988109838877727,258845.00973883437,0.11382640126999276,240.0,0.4041666666666667
0.2,1300,2.600570965553845,0.11065947543579441,280323.39081004536,0.12327146194513657,260.0,0.29615384615384616
0.2,1400,2.600570965553845,0.10275522719038054,301808.05978845083,0.1327192877106647,280.0,0.20357142857142857
0.2,1500,2.600570965553845,0.09590487871102181,323297.76309275685,0.1421693273075534,300.0,0.12333333333333334
0.25,300,3.250713706942306,0.5994054919438863,68069.39582141902,0.029933334897174056,60.0,4.616666666666666
0.25,400,3.250713706942306,0.44955411895791475,88746.67695573384,0.039026114016005406,80.0,3.2125
0.25,500,3.250713706942306,0.35964329516633176,109749.44119840101,0.04826202346188188,100.0,2.37
0.25,600,3.250713706942306,0.29970274597194313,130921.13719915782,0.05757222019690856,120.0,1.8083333333333333
0.25,700,3.250713706942306,0.2568880679759513,152191.27976715245,0.06692570854677986,140.0,1.4071428571428573
0.25,800,3.250713706942306,0.22477705947895738,173523.6705994031,0.07630657040449942,160.0,1.10625
0.25,900,3.250713706942306,0.1998018306479621,194897.8707654349,0.08570581780501389,180.0,0.8722222222222222
0.25,1000,3.250713706942306,0.17982164758316588,216301.48623852248,0.0951180005081938,200.0,0.685
0.25,1100,3.250713706942306,0.16347422507560536,237726.57196571617,0.10453962469823767,220.0,0.5318181818181819
0.25,1200,3.250713706942306,0.14985137298597156,259167.80324267026,0.11396834885063974,240.0,0.4041666666666667
0.25,1300,3.250713706942306,0.138324344294743,280621.47923167894,0.12340254553190934,260.0,0.29615384615384616
0.25,1400,3.250713706942306,0.12844403398797566,302084.9485230988,0.1328410487917417,280.0,0.20357142857142857
0.25,1500,3.250713706942306,0.11988109838877727,323556.26217354304,0.14228300158749096,300.0,0.12333333333333334
0.30000000000000004,300,3.9008564483307677,0.7192865903326636,69554.38056954106,0.03058635297154259,60.0,4.616666666666666
0.30000000000000004,400,3.9008564483307677,0.5394649427494977,89890.72187720441,0.03952920471276481,80.0,3.2125
0.30000000000000004,500,3.9008564483307677,0.43157195419959815,110676.5966782536,0.04866973760632628,100.0,2.37
0.30000000000000004,600,3.9008564483307677,0.3596432951663318,131699.3294380812,0.05791442815425824,120.0,1.8083333333333333
0.30000000000000004,700,3.9008564483307677,0.3082656815711416,152861.2274125888,0.06722031623342704,140.0,1.4071428571428573
0.30000000000000004,800,3.9008564483307677,0.2697324713747489,174111.55466312307,0.07656509085040154,160.0,1.10625
0.30000000000000004,900,3.9008564483307677,0.23976219677755453,195421.465652624,0.08593606725734923,180.0,0.8722222222222222
0.30000000000000004,1000,3.9008564483307677,0.21578597709979908,216773.38895241104,0.09532551846546743,200.0,0.685
0.30000000000000004,1100,3.9008564483307677,0.19616907009072643,238156.02496575718,0.10472847550729361,220.0,0.5318181818181819
0.30000000000000004,1200,3.9008564483307677,0.1798216475831659,259561.78348622698,0.11414160060983254,240.0,0.4041666666666667
0.30000000000000004,1300,3.9008564483307677,0.1659892131536916,280985.3800735817,0.12356256995461194,260.0,0.29615384615384616
0.30000000000000004,1400,3.9008564483307677,0.1541328407855708,302423.02381452837,0.13298971649764246,280.0,0.20357142857142857
0.30000000000000004,1500,3.9008564483307677,0.14385731806653274,323871.925304794,0.14242181360584963,300.0,0.12333333333333334
0.35,300,4.550999189719228,0.8391676887214407,71269.4822719897,0.031340564361589246,60.0,4.616666666666666
0.35,400,4.550999189719228,0.6293757665410805,91224.27926001837,0.040115633007928385,80.0,3.2125
0.35,500,4.550999189719228,0.5035006132328644,111762.41004553235,0.049147221132753535,100.0,2.37
0.35,600,4.550999189719228,0.4195838443607203,132613.12386541968,0.05831626681156695,120.0,1.8083333333333333
0.35,700,4.550999189719228,0.35964329516633176,153649.2176777614,0.06756683284663462,140.0,1.4071428571428573
0.35,800,4.550999189719228,0.31468788327054026,174803.77774554704,0.07686949410093297,160.0,1.10625
0.35,900,4.550999189719228,0.27972256290714687,196038.4566474767,0.08620738739842877,180.0,0.8722222222222222
0.35,1000,4.550999189719228,0.2517503066164322,217329.7710964105,0.09557018602636126,200.0,0.685
0.35,1100,4.550999189719228,0.22886391510584744,238662.5640405199,0.10495122471169607,220.0,0.5318181818181819
0.35,1200,4.550999189719228,0.20979192218036016,260026.6268932008,0.11434601425575644,240.0,0.4041666666666667
0.35,1300,4.550999189719228,0.19365408201264014,281414.8380274218,0.12375142294208781,260.0,0.29615384615384616
0.35,1400,4.550999189719228,0.17982164758316588,302822.08073393145,0.1331652007114713,280.0,0.20357142857142857
0.35,1500,4.550999189719228,0.16783353774428814,324244.585533111,0.1425856899453185,300.0,0.12333333333333334
0.4,300,5.20114193110769,0.9590487871102181,73198.52722704007,0.0321888567252047,60.0,4.616666666666666
0.4,400,5.20114193110769,0.7192865903326636,92739.17409272143,0.040781803962056794,80.0,3.2125
0.4,500,5.20114193110769,0.5754292722661309,113002.30787057399,0.04969246288769168,100.0,2.37
0.4,600,5.20114193110769,0.47952439355510906,133659.73928687506,0.058776513146074794,120.0,1.8083333333333333
0.4,700,5.20114193110769,0.41102090876152214,154553.44505341307,0.06796446441853199,140.0,1.4071428571428573
0.4,800,5.20114193110769,0.3596432951663318,175599.1059174416,0.077219237539011,160.0,1.10625
0.4,900,5.20114193110769,0.3196829290367394,196747.96509650326,0.08651939184272861,180.0,0.8722222222222222
0.4,1000,5.20114193110769,0.28771463613306547,217969.98575425116,0.09585171871117458,200.0,0.685
0.4,1100,5.20114193110769,0.26155876012096857,239245.69956278327,0.10520765699918311,220.0,0.5318181818181819
0.4,1200,5.20114193110769,0.23976219677755453,260561.95420349867,0.11458142300979898,240.0,0.4041666666666667
0.4,1300,5.20114193110769,0.22131895087158882,281909.55348638026,0.12396897274303893,260.0,0.29615384615384616
0.4,1400,5.20114193110769,0.20551045438076107,303281.87856335565,0.13336739557815203,280.0,0.20357142857142857
