estacao,r_m,corda_m,espacamento_m,solidez,U_m_s,Vx_m_s,Vtheta_R1_saida_m_s,beta_R1_entrada_deg,beta_R1_saida_deg,beta_R2_entrada_deg,beta_R2_saida_deg,metal_R1_entrada_deg,metal_R1_saida_deg,metal_R2_entrada_deg,metal_R2_saida_deg,cambra_R1_deg,cambra_R2_deg,Wmax_m_s,Re_corda_nom,Mach_rel_nom,tmax_m,r_LE_min_m,r_LE_max_m
Cubo,0.14,0.08,0.07330382858376185,1.091348181201568,8.79645943005142,5.20114193110769,4.838052686528282,-59.40516220580523,-37.27349077706266,69.11970411014899,59.40516220580523,-59.40516220580523,-41.27349077706266,69.11970411014899,55.40516220580523,18.13167142874257,13.714541904343754,14.592868054110726,77398.63719307347,0.04254480482248025,0.008,0.0012,0.0016
Médio,0.1726267650163207,0.09,0.09038716279804077,0.9957166174260184,10.846459535764893,5.20114193110769,5.965552744670692,-64.38114575050858,-43.18073133260796,72.80947114192892,64.38114575050858,-64.38114575050858,-47.18073133260796,72.80947114192892,60.38114575050858,17.200414417900618,12.428325391420344,17.598171334120018,105005.6632091139,0.051306621965364486,0.009,0.0013499999999999999,0.0018
Ponta,0.2,0.1,0.10471975511965977,0.9549296585513721,12.566370614359172,5.20114193110769,6.911503837897546,-67.51564346498084,-47.393273465670845,75.04924497039914,67.51564346498084,-67.51564346498084,-51.393273465670845,75.04924497039914,63.51564346498084,16.122369999309996,11.533601505418304,20.160344009103653,133659.73928687506,0.058776513146074794,0.010000000000000002,0.0015,0.002
